 0 4 1 3  -0.000000
 0 6 2 5   0.000000
 0 4 3 1   0.000000
 0 3 4 1   0.000000
 0 6 5 2   0.000000
 0 5 6 2   0.000000
 1 3 0 2  -0.000000
 1 4 0 2   0.000000
 1 4 0 3   0.000000
 1 5 0 2   0.000000
 1 5 0 3  18.315170
 1 5 0 4 -18.315170
 1 6 0 2   0.000000
 1 6 0 3 -18.315170
 1 6 0 4  18.315170
 1 6 0 5   0.000000
 1 4 3 0   0.000000
 1 3 4 0   0.000000
 2 3 0 1   0.000000
 2 4 0 1  -0.000000
 2 4 0 3  -0.000000
 2 5 0 1   0.000000
 2 5 0 3 -18.315170
 2 5 0 4  18.315170
 2 6 0 1   0.000000
 2 6 0 3  18.315170
 2 6 0 4 -18.315170
 2 6 0 5   0.000000
 2 6 5 0   0.000000
 2 5 6 0   0.000000
 3 2 0 1   0.000000
 3 4 0 1   0.000000
 3 4 0 2   0.000000
 3 5 0 1 -25.085320
 3 5 0 2  25.085320
 3 5 0 4 -34.694952
 3 6 0 1  25.085320
 3 6 0 2 -25.085320
 3 6 0 4  34.694952
 3 6 0 5 -25.085320
 3 4 1 0   0.000000
 3 1 4 0   0.000000
 4 2 0 1   0.000000
 4 3 0 1   0.000000
 4 3 0 2   0.000000
 4 5 0 1  25.085320
 4 5 0 2 -25.085320
 4 5 0 3  34.694952
 4 6 0 1 -25.085320
 4 6 0 2  25.085320
 4 6 0 3 -34.694952
 4 6 0 5  25.085320
 4 3 1 0   0.000000
 4 1 3 0   0.000000
 5 2 0 1   0.000000
 5 3 0 1  25.085320
 5 3 0 2 -25.085320
 5 4 0 1 -25.085320
 5 4 0 2  25.085320
 5 4 0 3 -25.085320
 5 6 0 1   0.000000
 5 6 0 2   0.000000
 5 6 0 3  34.694952
 5 6 0 4 -34.694952
 5 6 2 0   0.000000
 5 2 6 0   0.000000
 6 2 0 1   0.000000
 6 3 0 1 -25.085320
 6 3 0 2  25.085320
 6 4 0 1  25.085320
 6 4 0 2 -25.085320
 6 4 0 3  25.085320
 6 5 0 1   0.000000
 6 5 0 2   0.000000
 6 5 0 3 -34.694952
 6 5 0 4  34.694952
 6 5 2 0   0.000000
 6 2 5 0   0.000000
